TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,STREET_NAME,LATITUDE,LONGITUDE
Condo for sale,315000,2,2,1400,"New York, NY 10022","2 E 55th St Unit 803New York, NY 10022",New York County,New York,Manhattan,East 55th Street,40.761255,-73.9744834
Condo for sale,195000000,7,10,17545,"New York, NY 10019","Central Park Tower Penthouse-217 W 57th New York St Unit PenthouseNew York, NY 10019",United States,New York,New York County,New York,40.7663935,-73.9809909
House for sale,260000,4,2,2015,"Staten Island, NY 10312","620 Sinclair AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,40.5418051,-74.1961086
Condo for sale,69000,3,1,445,"Manhattan, NY 10022","2 E 55th St Unit 908W33Manhattan, NY 10022",United States,New York,New York County,New York,40.7613979,-73.9746128
Townhouse for sale,55000000,7,2.373860858,14175,"New York, NY 10065","5 E 64th StNew York, NY 10065",United States,New York,New York County,New York,40.7672235,-73.9698561
House for sale,690000,5,2,4004,"Brooklyn, NY 11238","584 Park PlBrooklyn, NY 11238",United States,New York,Kings County,Brooklyn,40.6743632,-73.9587248
Condo for sale,899500,2,2,2184.21,"New York, NY 10027","157 W 126th St Unit 1BNew York, NY 10027",New York,New York County,New York,Manhattan,40.809448,-73.946777
House for sale,16800000,8,16,33000,"Staten Island, NY 10304","177 Benedict RdStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,40.5950017,-74.1064235
Co-op for sale,265000,1,1,750,"Bronx, NY 10473","875 Morrison Ave Apt 3MBronx, NY 10473",Bronx County,The Bronx,East Bronx,Morrison Avenue,40.8215857,-73.8740892
Co-op for sale,440000,2,1,978,"Brooklyn, NY 11230","1350 Ocean Pkwy Apt 5GBrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,40.6157378,-73.9696944
Co-op for sale,375000,2,1,850,"Bronx, NY 10451","800 Grand Concourse Apt 2JSBronx, NY 10451",New York,Bronx County,The Bronx,Concourse Village,40.8248699,-73.9229829
Townhouse for sale,689000,3,2.373860858,1162,"Staten Island, NY 10303","456 Van Name AveStaten Island, NY 10303",United States,New York,Richmond County,Staten Island,40.6249962,-74.1553058
Co-op for sale,259000,3,1,2184.21,"Jackson Heights, NY 11372","34-41 85th St Unit 1DJackson Heights, NY 11372",New York,Queens County,Queens,Flushing,40.7531191,-73.8818757
Co-op for sale,430000,2,2,2184.21,"Elmhurst, NY 11373","91-15 Lamont Ave Unit 6DElmhurst, NY 11373",New York,Queens County,Queens,Elmhurst,40.7438639,-73.8745722
Co-op for sale,895000,3,1,2184.21,"New York, NY 10014","61 Jane St Apt 6NNew York, NY 10014",New York,New York County,New York,Manhattan,40.7382981,-74.0058899
Condo for sale,549000,2,2,1000,"Staten Island, NY 10312","4654 Amboy Rd Unit 2BStaten Island, NY 10312",New York,Richmond County,Staten Island,Annadale,40.5406209,-74.1671632
Townhouse for sale,975000,3,2,1734,"Woodside, NY 11377","28-31 Hobart StWoodside, NY 11377",United States,New York,Queens County,Queens,40.7607676,-73.9056672
Co-op for sale,199000,3,1,325,"Brooklyn, NY 11209","9430 Ridge Blvd Apt 6DBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,40.6181029,-74.0369047
Co-op for sale,350000,1,1,700,"Bronx, NY 10471","5800 Arlington Ave Apt 21ABronx, NY 10471",New York,Bronx County,The Bronx,North Riverdale,40.9073699,-73.9065578
Condo for sale,599000,2,2,974,"Rego Park, NY 11374","92-29 Queens Blvd Unit 3HRego Park, NY 11374",New York,Queens County,Queens,Rego Park,40.7324713,-73.8670804
House for sale,639999,3,2,1260,"Staten Island, NY 10301","27 Clove WayStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,40.6207403,-74.1114362
Condo for sale,1300000,2,2,1244,"Forest Hills, NY 11375","10724 71st Rd Apt 9FForest Hills, NY 11375",New York,Queens County,Queens,Forest Hills,40.7202429,-73.8430513
Multi-family home for sale,1100000,6,3,2837,"Bronx, NY 10465","1038 Throggs Neck Expy Unit SrBronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8343936,-73.8221101
Condo for sale,349900,1,1,651,"Staten Island, NY 10304","165 Cromwell Ave Apt 2BStaten Island, NY 10304",New York,Richmond County,Staten Island,Dongan Hills,40.5902064,-74.0958034
House for sale,750000,2,2,1330,"Staten Island, NY 10307","280 Loretto StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,40.5039785,-74.2396555
Multi-family home for sale,1690000,6,4,2200,"Briarwood, NY 11435","149-07 85 RdBriarwood, NY 11435",United States,New York,Queens County,Queens,40.710749,-73.809486
Co-op for sale,325000,1,1,2184.21,"Queens, NY 11372","35-45 81st St Unit E1Queens, NY 11372",New York,Queens County,Queens,Jackson Heights,40.7505078,-73.8851355
Multi-family home for sale,2250000,12,2.373860858,5670,"Brooklyn, NY 11214","2361 81st StBrooklyn, NY 11214",11214,United States,New York,Kings County,40.602654,-73.9869399
Co-op for sale,230000,1,1,2184.21,"Jackson Heights, NY 11372","33-24 Junction Blvd Unit 6RJackson Heights, NY 11372",United States,New York,Queens County,Queens,40.7557689,-73.8734231
Multi-family home for sale,1299888,10,6,3156,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,Clifton,40.6155667,-74.0869554
Multi-family home for sale,925000,5,2,2750,"Bronx, NY 10465","543 Hollywood AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8242389,-73.8173809
Condo for sale,329000,1,2,794,"Staten Island, NY 10314","47 Lynn CtStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6210398,-74.1504313
Multi-family home for sale,1300000,10,8,5040,"Staten Island, NY 10303","366 Union Ave Unit 4Staten Island, NY 10303",New York,Richmond County,Staten Island,Mariners Harbor,40.6274381,-74.1581613
Multi-family home for sale,848000,5,4,2080,"Brooklyn, NY 11207","544 Hinsdale StBrooklyn, NY 11207",United States,New York,Kings County,Brooklyn,40.6615475,-73.898309
Co-op for sale,279000,1,1,750,"Brooklyn, NY 11230","1801 Ocean Ave Apt 4ABrooklyn, NY 11230",New York,Kings County,Brooklyn,Midwood,40.6179165,-73.9546305
Condo for sale,528000,1,1,602,"Brooklyn, NY 11219","1238 63rd St Unit 432Brooklyn, NY 11219",New York,Kings County,Brooklyn,Dyker Heights,40.6275896,-74.0016198
Multi-family home for sale,1299888,11,4,3156,"Staten Island, NY 10304","310-312 Hillside AveStaten Island, NY 10304",New York,Richmond County,Staten Island,Clifton,40.6155667,-74.0869554
Co-op for sale,275000,1,1,2184.21,"Flushing, NY 11355","44-55 Kissena Blvd Unit 5FFlushing, NY 11355",New York,Queens County,Queens,Flushing,40.7528774,-73.8211834
Condo for sale,1165000,1,1,815,"Brooklyn, NY 11249","338 Berry St Apt 4EBrooklyn, NY 11249",New York,Kings County,Brooklyn,Williamsburg,40.711969,-73.9649468
Multi-family home for sale,1199000,6,5,3290,"Staten Island, NY 10307","10 Simon CtStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,40.5159256,-74.2361135
Multi-family home for sale,700000,6,2,3053,"Bronx, NY 10453","229 W Tremont Ave Unit ABronx, NY 10453",United States,New York,Bronx County,The Bronx,40.852813,-73.9176871
Multi-family home for sale,2150000,8,4,3200,"Brooklyn, NY 11204","2226 63rd StBrooklyn, NY 11204",United States,New York,Kings County,Brooklyn,40.614446,-73.9795824
Multi-family home for sale,1280000,7,5,2460,"Woodhaven, NY 11421","86-05 91st AveWoodhaven, NY 11421",United States,New York,Queens County,Queens,40.688312,-73.856322
Co-op for sale,199900,1,1,2184.21,"Bronx, NY 10451","828 Gerard Ave Apt 5FBronx, NY 10451",New York,Bronx County,The Bronx,Concourse,40.8260352,-73.9256625
Co-op for sale,369000,2,1,2184.21,"Flushing, NY 11355","43-40 Union St Unit 3DFlushing, NY 11355",New York,Queens County,Queens,Flushing,40.753455,-73.8209077
Multi-family home for sale,699000,4,3,1591,"Jamaica, NY 11435","111-31 141st StJamaica, NY 11435",United States,New York,Queens County,Queens,40.6847504,-73.8027331
Co-op for sale,4250000,3,2,2400,"Manhattan, NY 10012","123 Prince St Unit 1Manhattan, NY 10012",New York,New York County,New York,Manhattan,40.725464,-73.9999212
Multi-family home for sale,825000,2,2,2184.21,"Flushing, NY 11358","32-39 Jordan StFlushing, NY 11358",United States,New York,Queens County,Queens,40.768457,-73.789417
Condo for sale,329000,2,1,837,"Staten Island, NY 10304","55 Austin Pl Apt 4LStaten Island, NY 10304",New York,Richmond County,Staten Island,Mid Island,40.6315346,-74.0856344
Multi-family home for sale,889000,2,2,1520,"Staten Island, NY 10314","17 S Greenleaf AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6233188,-74.1259917
Multi-family home for sale,769000,2,2,2184.21,"Richmond Hill South, NY 11419","101-55 112th StRichmond Hill South, NY 11419",United States,New York,Queens County,Queens,40.6868333,-73.8309133
Multi-family home for sale,1200000,4,2,2536,"Brooklyn, NY 11214","66 Bay 22nd StBrooklyn, NY 11214",United States,New York,Kings County,Brooklyn,40.6042861,-74.0012526
Co-op for sale,220500,2,1,900,"Staten Island, NY 10301","350 Richmond Ter Apt 3MStaten Island, NY 10301",New York,Richmond County,Staten Island,Mid Island,40.6481488,-74.0847983
Multi-family home for sale,1999000,3,3,2739,"Brooklyn, NY 11209","259 80th StBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,40.6281691,-74.0297598
Co-op for sale,3250000,2,2,1300,"New York, NY 10013","240 Centre St Unit 2MNew York, NY 10013",New York County,New York,Manhattan,Centre Street,40.7199716,-73.9980266
Condo for sale,1650000,2,2,1267,"Brooklyn, NY 11231","473 Hicks St Apt 4Brooklyn, NY 11231",New York,Kings County,Brooklyn,Cobble Hill,40.6866098,-73.9997131
Multi-family home for sale,1049000,4,4,2554,"Staten Island, NY 10307","342 Manhattan StStaten Island, NY 10307",United States,New York,Richmond County,Staten Island,40.5016233,-74.2417531
House for sale,998800,3,4,2400,"Staten Island, NY 10301","1191 Clove RdStaten Island, NY 10301",United States,New York,Richmond County,Staten Island,40.6175,-74.103996
House for sale,998800,3,4,2400,"Staten Island, NY 10301","Waldron AveStaten Island, NY 10301",10301,United States,New York,Richmond County,40.618648,-74.1019085
For sale,3150000,3,2,1952,"Brooklyn, NY 11217","184 Lincoln Pl Unit 2Brooklyn, NY 11217",New York,Kings County,Brooklyn,Park Slope,40.6754035,-73.9742051
Co-op for sale,849000,1,1,2184.21,"Manhattan, NY 10023","263 W End Ave Apt 14CManhattan, NY 10023",New York,New York County,New York,Manhattan,40.7802357,-73.9846328
Co-op for sale,559500,1,1,800,"Brooklyn, NY 11235","50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",New York,Kings County,Brooklyn,Brighton Beach,40.5751942,-73.9669983
Co-op for sale,750000,1,1,835,"New York, NY 10065","333 E 66th St Apt 8ENew York, NY 10065",New York,New York County,New York,Manhattan,40.7643711,-73.9593578
Condo for sale,1900000,2,2,1029,"New York, NY 10002","150 Rivington St Apt 3GNew York, NY 10002",New York,New York County,New York,Manhattan,40.7193408,-73.9856438
Condo for sale,1250000,2,2,1201,"Brooklyn, NY 11218","1105 Cortelyou Rd # 301Brooklyn, NY 11218",New York,Kings County,Brooklyn,Flatbush,40.6400234,-73.9676099
Condo for sale,1395000,2,2,1182,"Brooklyn, NY 11238","737 Bergen St Apt 1BBrooklyn, NY 11238",New York,Kings County,Brooklyn,Prospect Heights,40.6787789,-73.9643728
Co-op for sale,198000,1,1,2184.21,"Woodhaven, NY 11421","83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",New York,Queens County,Queens,Woodhaven,40.700309,-73.8535466
Contingent,619888,3,2,1400,"Staten Island, NY 10306","35 Center PlStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5632116,-74.1002521
Multi-family home for sale,1489000,6,2.373860858,3780,"Staten Island, NY 10308","205 Wiman AveStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5395319,-74.1450877
Townhouse for sale,65000000,3,2.373860858,15200,"New York, NY 10075","4 E 79th StNew York, NY 10075",United States,New York,New York County,New York,40.7765613,-73.9633167
Condo for sale,1595000,3,3,1413,"Brooklyn, NY 11221","924 Lafayette Ave Unit PhBrooklyn, NY 11221",United States,New York,Kings County,Brooklyn,40.6915139,-73.935444
Condo for sale,655000,3,2,803,"Brooklyn, NY 11237","1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",United States,New York,Kings County,Brooklyn,40.6967268,-73.9074036
Condo for sale,1175000,2,2,1115,"Brooklyn, NY 11221","924 Lafayette Ave Apt 2Brooklyn, NY 11221",New York,Kings County,Brooklyn,Bedford-Stuyvesant,40.6915139,-73.935444
Multi-family home for sale,2880000,9,2.373860858,2350,"Whitestone, NY 11357","16-33 166th StWhitestone, NY 11357",United States,New York,Queens County,Queens,40.7832094,-73.7967588
Multi-family home for sale,798000,3,4,2150,"Staten Island, NY 10305","425 Father Capodanno BlvdStaten Island, NY 10305",United States,New York,Richmond County,Staten Island,40.5874844,-74.0701056
Land for sale,1685000,3,2.373860858,2184.21,"Ridgewood, NY 11385","519 Fairview AveRidgewood, NY 11385",United States,New York,Queens County,Queens,40.7083434,-73.9081614
Condo for sale,31000000,3,4,4492,"New York, NY 10019","111 W 57th St # 50New York, NY 10019",New York,New York County,New York,Manhattan,40.764953,-73.977568
Land for sale,2550000,3,2.373860858,2184.21,"Brooklyn, NY 11235","234 Ocean View AveBrooklyn, NY 11235",United States,New York,Kings County,Brooklyn,40.5785288,-73.9655666
Land for sale,119000,3,2.373860858,2184.21,"Bronx, NY 10466","3652 DE Reimer AveBronx, NY 10466",United States,New York,Bronx County,The Bronx,40.8841699,-73.8388387
Foreclosure,269000,5,2,2184.21,"Rosedale, NY 11422","24149 148th DrRosedale, NY 11422",United States,New York,Queens County,Queens,40.6534433,-73.741373
Condo for sale,1650000,2,2,1065,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,Manhattan,40.7833546,-73.9499982
Condo for sale,1650000,2,2,1065,"New York, NY 10128","200 E 94th St Apt 414New York, NY 10128",New York,New York County,New York,Manhattan,40.7833546,-73.9499982
Townhouse for sale,12950000,5,4,3344,"Manhattan, NY 10014","214 W 11th StManhattan, NY 10014",United States,New York,New York County,New York,40.7363219,-74.0018035
Condo for sale,5750000,3,2,2223,"Manhattan, NY 10010","250 E 21st St Unit 12BManhattan, NY 10010",New York,New York County,New York,Manhattan,40.736608,-73.9822819
Multi-family home for sale,250000,5,2,2184.21,"Jamaica, NY 11436","130-24 150th StJamaica, NY 11436",United States,New York,Queens County,Queens,40.66911,-73.789339
Pending,950000,6,2.373860858,3384,"Jamaica, NY 11422","254-06 Craft Ave Unit 2Jamaica, NY 11422",New York,Queens County,Queens,Jamaica,40.6499031,-73.7354706
House for sale,585000,3,2,1100,"Staten Island, NY 10306","192 Colfax AveStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5784263,-74.105437
House for sale,8750000,6,6,2184.21,"Brooklyn, NY 11209","8200 Narrows AveBrooklyn, NY 11209",United States,New York,Kings County,Brooklyn,40.6282935,-74.0379695
House for sale,595000,3,1,1316,"Brooklyn, NY 11234","1509 E 48th StBrooklyn, NY 11234",United States,New York,Kings County,Brooklyn,40.6239146,-73.9291226
Condo for sale,215000,1,1,625,"New York, NY 10012","195 Prince St Unit 1LLNew York, NY 10012",New York,New York County,New York,Manhattan,40.7267732,-74.002538
For sale,950000,1,1,621,"New York, NY 10025","The Rockwell # 3ANew York, NY 10025",United States,New York,New York County,New York,40.7986579,-73.9679035
House for sale,314000,3,1,1572,"Brooklyn, NY 11210","850 E 39th StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,40.6362368,-73.939679
Condo for sale,395000,5,1,1000,"Manhattan, NY 10021","110 E 71st St Unit MedicalManhattan, NY 10021",United States,New York,New York County,New York,40.7700395,-73.9638872
Multi-family home for sale,600000,2,2,2184.21,"Bronx, NY 10465","1406 Mac Donough PlBronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8429545,-73.8249591
Multi-family home for sale,790000,6,3,2520,"Staten Island, NY 10314","78 Mountainview AveStaten Island, NY 10314",United States,New York,Richmond County,Staten Island,40.6105856,-74.1268175
Co-op for sale,539000,2,2,1100,"Brooklyn, NY 11209","9425 Shore Rd Apt 4FBrooklyn, NY 11209",New York,Kings County,Brooklyn,Fort Hamilton,40.6170731,-74.0383836
Co-op for sale,1295000,4,2,1995,"Bronx, NY 10463","2501 Palisade Ave Apt H2Bronx, NY 10463",New York,Bronx County,The Bronx,Spuyten Duyvil,40.8809873,-73.9224337
House for sale,245000,3,1,2184.21,"Bronx, NY 10469","2942 Lurting AveBronx, NY 10469",United States,New York,Bronx County,The Bronx,40.8690109,-73.8564445
House for sale,400000,7,3,2385,"Bronx, NY 10470","340 E 234th StBronx, NY 10470",United States,New York,Bronx County,The Bronx,40.8969146,-73.8654984
House for sale,55000000,8,8,12000,"New York, NY 10023","25 Riverside DrNew York, NY 10023",United States,New York,New York County,New York,40.782238,-73.9846322
Co-op for sale,280000,1,1,1000,"Brooklyn, NY 11209","8015 6th Ave Apt A1Brooklyn, NY 11209",New York,Kings County,Brooklyn,Bay Ridge,40.6241766,-74.0216837
House for sale,899000,3,2,1440,"Staten Island, NY 10309","40 Adelphi AveStaten Island, NY 10309",United States,New York,Richmond County,Staten Island,40.5159004,-74.2314825
For sale,2280000,2,2,1400,"New York, NY 10025","The Rockwell # 6ENew York, NY 10025",United States,New York,New York County,New York,40.7986579,-73.9679035
Coming Soon,649000,4,3,2184.21,"Brooklyn, NY 11231","194 Carroll StBrooklyn, NY 11231",United States,New York,Kings County,Brooklyn,40.6813429,-73.9981509
Pending,739000,6,4,2184.21,"Brooklyn, NY 11229","38 Dare CtBrooklyn, NY 11229",United States,New York,Kings County,Brooklyn,40.5877991,-73.9216187
House for sale,1495000,4,2.373860858,3000,"Staten Island, NY 10312","31 4th CtStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,40.5247627,-74.1681035
House for sale,3950000,5,2,3528,"Brooklyn, NY 11215","591 4th StBrooklyn, NY 11215",United States,New York,Kings County,Brooklyn,40.6680619,-73.9748375
Condo for sale,325000,2,1,979,"New York, NY 10029","122 E 102nd St Apt 5BNew York, NY 10029",New York,New York County,New York,Manhattan,40.7897507,-73.9487257
Pending,299999,3,1,2184.21,"New York, NY 10023","215 W 75th St Apt 4DNew York, NY 10023",New York,New York County,New York,Manhattan,40.7810583,-73.9808407
Townhouse for sale,2695000,6,5,4720,"New York, NY 10031","327 Convent AveNew York, NY 10031",United States,New York,New York County,New York,40.8235127,-73.9467514
Pending,4800000,6,2.373860858,3958,"Brooklyn, NY 11228","1151 83rd StBrooklyn, NY 11228",United States,New York,Kings County,Brooklyn,40.6178184,-74.0151165
House for sale,694000,3,3,1360,"Staten Island, NY 10308","364 Armstrong AveStaten Island, NY 10308",United States,New York,Richmond County,Staten Island,40.5423126,-74.1555672
House for sale,688888,4,2,2846,"Bronx, NY 10467","761 S Oak DrBronx, NY 10467",United States,New York,Bronx County,The Bronx,40.8726182,-73.8651768
House for sale,400000,4,2,1980,"Brooklyn, NY 11208","781 Sheperd AveBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.665357,-73.8770867
Multi-family home for sale,346000,5,2,2184.21,"Ozone Park, NY 11417","103-12 104th StOzone Park, NY 11417",United States,New York,Queens County,Queens,40.6837891,-73.8381042
House for sale,400000,4,2,1980,"Brooklyn, NY 11208","781 Sheperd AveBrooklyn, NY 11208",United States,New York,Kings County,Brooklyn,40.665357,-73.8770867
Multi-family home for sale,346000,5,2,2184.21,"Ozone Park, NY 11417","103-12 104th StOzone Park, NY 11417",United States,New York,Queens County,Queens,40.6837891,-73.8381042
House for sale,265000,3,1,2184.21,"Springfield Gardens, NY 11413","135-38 224th StSpringfield Gardens, NY 11413",United States,New York,Queens County,Queens,40.67538,-73.7472571
House for sale,319000,3,2,1224,"Staten Island, NY 10306","57 Neutral AveStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5604695,-74.1018925
Townhouse for sale,24800000,6,8,2184.21,"New York, NY 10021","45 E 74th StNew York, NY 10021",United States,New York,New York County,New York,40.772929,-73.9635462
House for sale,1100000,9,4,3276,"New York, NY 10032","421 W 154th StNew York, NY 10032",United States,New York,New York County,New York,40.8307115,-73.9424229
Multi-family home for sale,309000,6,2,2184.21,"Far Rockaway, NY 11691","2918 Brookhaven AveFar Rockaway, NY 11691",United States,New York,Queens County,Queens,40.5980695,-73.7632649
House for sale,650000,3,2,1522,"Bellerose, NY 11426","237-14 93rd RdBellerose, NY 11426",United States,New York,Queens County,Queens,40.723245,-73.7293286
House for sale,799000,4,2,1975,"Staten Island, NY 10312","604 Lamont AveStaten Island, NY 10312",United States,New York,Richmond County,Staten Island,40.5387812,-74.193378
Co-op for sale,259000,3,2,1089,"Bronx, NY 10465","7E Edgewater Park Unit EBronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8246371,-73.8072061
House for sale,1195000,4,4,2704,"Staten Island, NY 10309","52 Indale AveStaten Island, NY 10309",United States,New York,Richmond County,Staten Island,40.5143019,-74.2044734
Condo for sale,17500000,5,6,5499,"New York, NY 10007","37 Warren St Unit PhcdNew York, NY 10007",United States,New York,New York County,New York,40.7143354,-74.0087443
Condo for sale,189000,2,2,966,"Staten Island, NY 10305","20 Cliff St Apt 6DStaten Island, NY 10305",New York,Richmond County,Staten Island,Shore Acres,40.6109595,-74.060351
Condo for sale,759000,3,2,1200,"Bayside, NY 11360","206-04 Emily Rd Unit 37MBayside, NY 11360",New York,Queens County,Queens,Bayside,40.7881763,-73.7877051
House for sale,275000,4,1,2184.21,"Brooklyn, NY 11210","579 E 29th StBrooklyn, NY 11210",United States,New York,Kings County,Brooklyn,40.6366859,-73.9488175
Condo for sale,499000,1,1,630,"Manhattan, NY 10021","157 E 72nd St Apt 8IManhattan, NY 10021",New York,New York County,New York,Manhattan,40.7702318,-73.9610161
House for sale,1249000,3,2.373860858,2184.21,"Bronx, NY 10463","3021 Arlington AveBronx, NY 10463",United States,New York,Bronx County,The Bronx,40.8822913,-73.9137305
Co-op for sale,69900,2,1,700,"Bronx, NY 10465","61 Edgewater Park Unit BBronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8224987,-73.8111568
Multi-family home for sale,1150000,12,6,5508,"Astoria, NY 11103","32-40 48 StAstoria, NY 11103",United States,New York,Queens County,Queens,40.755049,-73.9136386
Foreclosure,1749900,5,4,3740,"New York, NY 10031","517 W 142nd StNew York, NY 10031",United States,New York,New York County,New York,40.824015,-73.9502067
Co-op for sale,1399000,3,4,1993,"Floral Park, NY 11005","269-10 Grand Central Pkwy Unit 21WFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,40.7566899,-73.72075
Condo for sale,649000,3,2,1182,"Fresh Meadows, NY 11365","163-04 71st Ave Unit 122Fresh Meadows, NY 11365",New York,Queens County,Queens,Fresh Meadows,40.7302938,-73.8059248
House for sale,499000,5,2,1760,"Bronx, NY 10458","2774 Marion AveBronx, NY 10458",United States,New York,Bronx County,The Bronx,40.8663864,-73.8878945
Multi-family home for sale,1050000,5,4,3132,"Bronx, NY 10465","2818 Miles AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8176549,-73.8197053
Townhouse for sale,5000000,10,9,6425,"Manhattan, NY 10024","137 W 80th StManhattan, NY 10024",United States,New York,New York County,New York,40.7832598,-73.976047
Pending,90000,1,1,660,"Staten Island, NY 10306","16 Mapleton AveStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.574451,-74.0929448
House for sale,56000000,11,10,24000,"New York, NY 10019","9 W 54th StNew York, NY 10019",United States,New York,New York County,New York,40.7616,-73.9761913
Townhouse for sale,650000,3,2.373860858,1638,"Bronx, NY 10465","1544 Ohm AveBronx, NY 10465",United States,New York,Bronx County,The Bronx,40.8454501,-73.8209766
Condo for sale,500000,4,3,1794,"New York, NY 10024","251 W 89th St Apt 6ENew York, NY 10024",New York,New York County,New York,Manhattan,40.7905714,-73.9753392
House for sale,350000,2,1,490,"Staten Island, NY 10306","750 Patterson AveStaten Island, NY 10306",United States,New York,Richmond County,Staten Island,40.5731273,-74.089182
House for sale,1099000,4,2,2184.21,"Queens, NY 11697","204-34 9th AveQueens, NY 11697",United States,New York,Queens County,Queens,40.5595612,-73.9147409
Co-op for sale,90000,1,1,450,"Bronx, NY 10452","1383 Plimpton Ave Apt 1CBronx, NY 10452",New York,Bronx County,The Bronx,Highbridge,40.8423705,-73.9234444
House for sale,839000,4,2,2184.21,"Howard Beach, NY 11414","158-35 87th StHoward Beach, NY 11414",United States,New York,Queens County,Queens,40.6590909,-73.8451972
House for sale,659000,8,3,2184.21,"Jamaica, NY 11435","148-05 111th AveJamaica, NY 11435",United States,New York,Queens County,Queens,40.688533,-73.796529
House for sale,659000,8,3,2184.21,"Jamaica, NY 11435","148-05 111th AveJamaica, NY 11435",United States,New York,Queens County,Queens,40.688533,-73.796529
House for sale,399999,3,1,2184.21,"Far Rockaway, NY 11691","178 Beach 24th StFar Rockaway, NY 11691",United States,New York,Queens County,Queens,40.5950021,-73.7577376
Condo for sale,250000,3,1,2184.21,"Brooklyn, NY 11229","3105 Avenue V Apt 1FBrooklyn, NY 11229",New York,Kings County,Brooklyn,Sheepshead Bay,40.5997081,-73.9344974
For sale,1740000,2,2,1132,"New York, NY 10025","The Rockwell # 6HNew York, NY 10025",United States,New York,New York County,New York,40.7986579,-73.9679035
House for sale,650000,4,2,2244,"Cambria Heights, NY 11411","115115 220th StCambria Heights, NY 11411",United States,New York,Queens County,Queens,40.6968706,-73.7390395
House for sale,1165000,3,4,3500,"Staten Island, NY 10309","67 Dexter AveStaten Island, NY 10309",United States,New York,Richmond County,Staten Island,40.5397292,-74.2155251
House for sale,729900,3,2,1150,"Staten Island, NY 10309","447 Vernon AveStaten Island, NY 10309",United States,New York,Richmond County,Staten Island,40.5302132,-74.1981906
House for sale,1880000,3,4,3150,"Brooklyn, NY 11224","3758 Bayview AveBrooklyn, NY 11224",United States,New York,Kings County,Brooklyn,40.5805262,-74.0061062
Co-op for sale,449000,2,2,1549,"Floral Park, NY 11005","26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",New York,Queens County,Queens,Glen Oaks,40.7577991,-73.7159564
House for sale,1175000,3,2,2250,"Rockaway Park, NY 11694","251 Beach 140th StRockaway Park, NY 11694",United States,New York,Queens County,Queens,40.57372,-73.8577786
Townhouse for sale,2750000,3,2,2184.21,"New York, NY 10014","16 Gay StNew York, NY 10014",United States,New York,New York County,New York,40.7336687,-74.000518
House for sale,995000,3,2,2184.21,"Howard Beach, NY 11414","159-03 83rd StHoward Beach, NY 11414",United States,New York,Queens County,Queens,40.657686,-73.8489131
Condo for sale,2000000,3,2,2000,"Manhattan, NY 10280","200 Rector Pl Unit 27EFManhattan, NY 10280",New York County,New York,Manhattan,Rector Place,40.7086444,-74.0161953
Townhouse for sale,15000000,8,6,2184.21,"Brooklyn, NY 11201","126 Pierrepont StBrooklyn, NY 11201",United States,New York,Kings County,Brooklyn,40.6948972,-73.9925741
House for sale,2800000,4,6,8333,"Staten Island, NY 10304","25 Copperleaf TerStaten Island, NY 10304",United States,New York,Richmond County,Staten Island,40.5861193,-74.1075476
House for sale,2600000,5,4,3024,"Bayside, NY 11360","214-42 27th AveBayside, NY 11360",United States,New York,Queens County,Queens,40.7780417,-73.7739629
Townhouse for sale,3500000,6,6,6000,"New York, NY 10031","51 Hamilton TerNew York, NY 10031",United States,New York,New York County,New York,40.8229141,-73.9460622
